data_entrada,data_saida,tipo,entrada,saida,tamanho,pnl,capital_final,motivo_saida,score,atr_entrada
2026-04-15 01:10:00,2026-04-15 01:10:00,LONG,1.114,1.1103209630532336,2268.495420436973,-8.34587846535828,408.9480448025558,STOP_LOSS,60,0.002452691297844292
2026-04-15 02:50:00,2026-04-15 03:00:00,LONG,1.123,1.1181288110332046,1679.0481649969342,-8.178960896051116,400.76908390650465,STOP_LOSS,55,0.003247459311196935
2026-04-15 03:30:00,2026-04-15 03:50:00,LONG,1.12,1.1159600940742407,1984.0515659095101,-8.015381678130094,392.75370222837455,STOP_LOSS,90,0.0026932706171730325
2026-04-15 05:55:00,2026-04-15 06:50:00,LONG,1.115,1.1111580709362052,2044.5650906445521,-7.855074044567491,384.89862818380703,STOP_LOSS,55,0.0025612860425298714
2026-04-15 07:45:00,2026-04-15 07:50:00,LONG,1.115,1.111537402857594,2223.178801079665,-7.6979725636761405,377.2006556201309,STOP_LOSS,75,0.002308398094937397
2026-04-15 08:25:00,2026-04-15 08:45:00,LONG,1.115,1.120054979480775,2487.3207171575455,12.573355187338064,389.7740108074689,TAKE_PROFIT,75,0.002021991792310009
2026-04-15 10:05:00,2026-04-15 10:20:00,LONG,1.118,1.1155256957719764,3150.5746657417726,-7.795480216149379,381.97853059131955,STOP_LOSS,110,0.0016495361520158338
2026-04-15 11:15:00,2026-04-15 11:55:00,LONG,1.122,1.128590350663209,1932.0091353345024,12.732617686377175,394.71114827769674,TAKE_PROFIT,80,0.002636140265283469
2026-04-15 13:00:00,2026-04-15 13:00:00,LONG,1.131,1.1252105128392702,1363.544429133654,-7.894222965553935,386.8169253121428,STOP_LOSS,80,0.003859658107153178
2026-04-15 13:10:00,2026-04-15 14:35:00,LONG,1.133,1.1418253580012099,1461.0056055105224,12.893897510404761,399.7108228225476,TAKE_PROFIT,70,0.0035301432004839284
2026-04-15 18:35:00,2026-04-15 18:35:00,LONG,1.142,1.1385090868403487,2290.007253359937,-7.9942164564509515,391.71660636609664,STOP_LOSS,80,0.0023272754397675563
2026-04-15 18:40:00,2026-04-15 19:05:00,LONG,1.143,1.148709096786163,2287.0903579442006,13.057220212203731,404.7738265783004,TAKE_PROFIT,55,0.0022836387144652154
2026-04-15 21:35:00,2026-04-15 22:05:00,LONG,1.133,1.1300260854044486,2722.1617405139323,-8.095476531566007,396.67835004673435,STOP_LOSS,75,0.00198260973036757
2026-04-15 22:40:00,2026-04-15 23:30:00,LONG,1.131,1.1380763245467305,1868.5705525382812,13.22261166822434,409.90096171495867,TAKE_PROFIT,80,0.0028305298186922035
2026-04-16 01:40:00,2026-04-16 02:05:00,LONG,1.14,1.1359371582636157,2017.8042282284991,-8.198019234299174,401.7029424806595,STOP_LOSS,100,0.002708561157589464
2026-04-16 04:15:00,2026-04-16 05:55:00,LONG,1.141,1.137549100270091,2328.105560408476,-8.03405884961319,393.6688836310463,STOP_LOSS,95,0.0023005998199393356
2026-04-16 07:25:00,2026-04-16 09:10:00,LONG,1.143,1.1522060467987079,1425.3996756650238,13.122296121035193,406.7911797520815,TAKE_PROFIT,50,0.003682418719483098
2026-04-16 10:05:00,2026-04-16 10:05:00,LONG,1.164,1.1580128521229198,1358.8813508660867,-8.13582359504163,398.6553561570399,STOP_LOSS,50,0.003991431918053423
2026-04-16 12:35:00,2026-04-16 15:40:00,LONG,1.157,1.171364598048677,925.087623536065,13.288511871901466,411.9438680289413,TAKE_PROFIT,70,0.005745839219470857
2026-04-16 21:50:00,2026-04-16 22:05:00,LONG,1.193,1.1865564569423692,1278.6253287811649,-8.238877360578826,403.7049906683625,STOP_LOSS,80,0.004295695371753861
